Günler;Şimdi
Perşembe;807,8
Çarşamba;820,67
Salı;843,04
Pazartesi;839,47
Cuma;841,48
Perşembe;859,15
Çarşamba;867,33
Salı;866,91
Pazartesi;862,88
Cuma;854,89
Perşembe;864,14
Çarşamba;854,42
Salı;844,25
Pazartesi;860,41
Cuma;858,09
Perşembe;860,83
Çarşamba;834,29
Salı;831,16
Pazartesi;845,74
Cuma;849,87
Perşembe;857,89
Çarşamba;859,1
Salı;875,09
Pazartesi;897,13
Cuma;889,46
Perşembe;885,58
Çarşamba;903,42
Salı;911,5
Pazartesi;914,13
Cuma;907,36
Perşembe;909,03
Çarşamba;903,13
Salı;892
Pazartesi;880,06
Cuma;874,16
Perşembe;877,43
Çarşamba;875,63
Salı;883,13
Pazartesi;878,65
Cuma;876,48
Perşembe;876,9
Çarşamba;867,77
Salı;869,1
Pazartesi;864,63
Cuma;854,59
Çarşamba;857,21
Salı;845,37
Pazartesi;841,02
Cuma;849,47
Perşembe;848,25
Çarşamba;848,22
Salı;844,88
Pazartesi;851,44
Cuma;835,74
Perşembe;832,26
Çarşamba;808,21
Salı;791,91
Pazartesi;828,04
Cuma;832,26
Perşembe;847,18
Çarşamba;841,26
Salı;835,27
Pazartesi;848,19
Cuma;852,4
Perşembe;862,34
Çarşamba;849,15
Salı;849,15
Pazartesi;861,47
Cuma;861,69
Perşembe;846,89
Çarşamba;842,43
Salı;835,31
Pazartesi;832,52
Cuma;832,82
Perşembe;825,12
Çarşamba;814,62
Salı;813,3
Pazartesi;805
Cuma;812,12
Perşembe;808,76
Çarşamba;803,95
Salı;784,03
Pazartesi;777,43
Cuma;779,58
Perşembe;775,1
Çarşamba;789,56
Salı;802,68
Pazartesi;800,28
Cuma;805,8
Perşembe;798,99
Salı;795,89
Pazartesi;792,35
Cuma;794,17
Perşembe;794,95
Çarşamba;780,81
Salı;776,46
Pazartesi;763,31
Cuma;755,33
Perşembe;745,76
Çarşamba;748,56
Salı;746,87
Pazartesi;751,16
Cuma;734,94
Perşembe;752,08
Çarşamba;729,43
Cuma;743,84
Perşembe;738,58
Çarşamba;741,55
Salı;749,38
Pazartesi;746,46
Cuma;746,32
Perşembe;745,91
Çarşamba;751,93
Salı;766,69
Pazartesi;768,7
Cuma;769,22
Perşembe;774,96
Çarşamba;789,68
Salı;786,35
Pazartesi;779,18
Cuma;778,21
Perşembe;789,66
Çarşamba;795,51
Salı;800,8
Pazartesi;822
Cuma;821,93
Perşembe;822,26
Çarşamba;812,92
Salı;807,1
Pazartesi;808,25
Cuma;803,13
Perşembe;808,38
Çarşamba;804,67
Salı;807,54
Pazartesi;792,62
Cuma;789,3
Perşembe;789,58
Çarşamba;788,67
Salı;792,76
Pazartesi;773,42
Cuma;766,92
Perşembe;775,7
Çarşamba;776,19
Salı;778,27
Pazartesi;772,71
Cuma;791,99
Perşembe;788,43
Çarşamba;794,32
Salı;806,42
Pazartesi;818,93
Cuma;820,94
Perşembe;821,57
Cuma;842,18
Perşembe;838,25
Çarşamba;828,55
Salı;825,31
Pazartesi;822,7
Cuma;823,15
Perşembe;817,83
Çarşamba;822,71
Salı;812,45
Pazartesi;806,22
Cuma;793,64
Perşembe;785,52
Çarşamba;794,59
Salı;792,91
Pazartesi;789,51
Cuma;775,35
Perşembe;775,29
Çarşamba;768,32
Salı;771,07
Pazartesi;784,89
Cuma;784,72
Perşembe;781,04
Çarşamba;789,98
Salı;789,86
Pazartesi;793,27
Cuma;784,01
Perşembe;790,57
Çarşamba;780,93
Salı;780,16
Pazartesi;776,46
Cuma;790,12
Perşembe;798,34
Çarşamba;790,21
Salı;816,72
Pazartesi;807,54
Cuma;803,98
Perşembe;798,03
Çarşamba;783,85
Salı;788,18
Pazartesi;786,49
Cuma;792,9
Perşembe;793
Çarşamba;779,95
Salı;775,33
Pazartesi;786,03
Cuma;780,61
Perşembe;780,43
Çarşamba;764,55
Salı;752,55
Cuma;750,09
Perşembe;752,28
Çarşamba;760,48
Salı;757,76
Pazartesi;759,36
Cuma;755,63
Perşembe;757,82
Çarşamba;749,67
Salı;751,9
Pazartesi;747,61
Cuma;751,59
Çarşamba;738,72
Salı;723,15
Pazartesi;723,99
Cuma;713,89
Perşembe;723,91
Salı;731,7
Pazartesi;734,47
Cuma;734,76
Perşembe;735,62
Çarşamba;723,99
Salı;724,38
Pazartesi;737,75
Cuma;727,36
Perşembe;731,5
Çarşamba;724,29
Salı;739,47
Pazartesi;724,89
Cuma;725,83
Perşembe;715,45
Çarşamba;706,48
Salı;708,57
Pazartesi;697,36
Cuma;691,17
Perşembe;670,48
Çarşamba;677,31
Salı;646,96
Pazartesi;637,1
Cuma;645,79
Perşembe;652,61
Çarşamba;654,87
Salı;655,74
Pazartesi;641,98
Cuma;632,79
Perşembe;633,45
Çarşamba;632,59
Salı;630,66
Pazartesi;627,32
Cuma;630,96
Perşembe;640,04
Çarşamba;634,45
Salı;630,31
Pazartesi;611,89
Cuma;625,53
Perşembe;617,79
Çarşamba;615,03
Salı;621,24
Pazartesi;641,86
Cuma;638,86
Perşembe;636,81
Çarşamba;633,82
Salı;641,26
Pazartesi;655,99
Cuma;648,83
Perşembe;637,65
Çarşamba;645,14
Salı;642,81
Pazartesi;640,5
Cuma;646,14
Perşembe;645,5
Çarşamba;624,42
Salı;627,33
Pazartesi;616,75
Cuma;618,58
Perşembe;627,01
Çarşamba;620,89
Salı;635,44
Pazartesi;645,69
Cuma;644,28
Perşembe;654,29
Çarşamba;673,67
Salı;663,19
Pazartesi;657,64
Cuma;656,35
Perşembe;668,44
Çarşamba;681,35
Salı;680,73
Pazartesi;680,62
Cuma;679,12
Perşembe;664,14
Çarşamba;673,32
Salı;685,99
Pazartesi;680,22
Cuma;659,67
Perşembe;669,86
Salı;678,02
Pazartesi;679,86
Cuma;638,85
Perşembe;645,55
Çarşamba;660,97
Salı;689,98
Pazartesi;680,86
Cuma;695,73
Perşembe;691
Çarşamba;714,17
Salı;709,46
Pazartesi;748,43
Cuma;740,65
Perşembe;730,72
Çarşamba;739,66
Salı;741,18
Pazartesi;742,33
Cuma;733,78
Perşembe;719,92
Çarşamba;730,89
Salı;730,87
Pazartesi;749,51
Cuma;757,48
Perşembe;745,8
Çarşamba;748,96
Salı;755,63
Pazartesi;765,31
Cuma;756,38
Perşembe;746,79
Çarşamba;753,82
Salı;746,18
Pazartesi;755,98
Cuma;742,73
Perşembe;739,75
Çarşamba;723,27
Salı;719,05
Pazartesi;721,4
Cuma;739,18
Perşembe;758,12
Çarşamba;757,69
Salı;747,44
Pazartesi;762,34
Cuma;765,01
Perşembe;776,2
Çarşamba;789,19
Pazartesi;795,65
Cuma;792,72
Perşembe;788,46
Çarşamba;785,16
Salı;792,72
Pazartesi;788,77
Pazartesi;762,35
Cuma;761,76
Perşembe;756,4
Çarşamba;744,84
Salı;750,64
Pazartesi;759,01
Cuma;762,07
Perşembe;762,7
Çarşamba;751,63
Salı;764,7
Pazartesi;744,87
Cuma;747,72
Perşembe;756,18
Çarşamba;762,34
Salı;765,3
Pazartesi;768,08
Cuma;778,63
Perşembe;794,66
Çarşamba;746,61
Salı;747,83
Pazartesi;742,59
Cuma;716,35
Perşembe;727,22
Çarşamba;717,72
Salı;717,88
Pazartesi;696,89
Cuma;672,32
Perşembe;667,15
Çarşamba;669,66
Salı;669,73
Pazartesi;685,45
Perşembe;663,94
Çarşamba;654,52
Salı;655,2
Pazartesi;687,75
Cuma;679,32
Perşembe;683
Çarşamba;697,09
Salı;722,04
Pazartesi;723,83
Cuma;742,75
Perşembe;739,78
Çarşamba;755,86
Salı;755,14
Pazartesi;753,75
Çarşamba;735,45
Salı;740,32
Pazartesi;742,9
Cuma;740,33
Perşembe;734,02
Çarşamba;733,77
Salı;744,21
Pazartesi;729,39
Cuma;725,55
Perşembe;738,5
Çarşamba;740,15
Salı;753,68
Pazartesi;758,16
Cuma;758,74
Perşembe;770,23
Çarşamba;770,72
Salı;756,78
Pazartesi;762,28
Cuma;739,22
Perşembe;717,9
Çarşamba;710,74
Salı;719,82
Pazartesi;716,82
Cuma;731,12
Perşembe;754,1
Çarşamba;737,19
Salı;764,39
Pazartesi;767,37
Cuma;762,95
Perşembe;757,62
Çarşamba;738,52
Salı;712,15
Pazartesi;706,4
Cuma;731,02
Perşembe;734,62
Çarşamba;788,35
Salı;777,4
Pazartesi;789,46
Cuma;800,11
Perşembe;764,89
Çarşamba;768,81
Salı;750,41
Pazartesi;763,86
Cuma;783,33
Perşembe;758,95
Çarşamba;796,37
Salı;807,33
Pazartesi;769,84
Cuma;859,9
Perşembe;871,7
Çarşamba;871,75
Salı;899,16
Pazartesi;905,47
Cuma;910,16
Perşembe;913,51
Çarşamba;931,79
Salı;911,91
Pazartesi;901,65
Cuma;919,25
Perşembe;919,47
Çarşamba;921,12
Salı;912,87
Pazartesi;897,65
Cuma;895,69
Perşembe;899,31
Çarşamba;908,52
Salı;894,59
Pazartesi;897,15
Cuma;890,94
Perşembe;886,7
Salı;860,46
Pazartesi;851,54
Cuma;851,12
Perşembe;849,43
Çarşamba;847,8
Pazartesi;840,23
Cuma;832,85
Perşembe;830,38
Çarşamba;843,98
Salı;847,06
Pazartesi;851,07
Cuma;845,81
Perşembe;841,03
Çarşamba;824,04
Salı;827,7
Pazartesi;833,47
Cuma;820,71
Perşembe;832,44
Çarşamba;848,6
Salı;860,27
Pazartesi;861,12
Cuma;858,99
Perşembe;852,54
Çarşamba;841,95
Salı;839,71
Pazartesi;827,66
Cuma;824,52
Perşembe;823,74
Çarşamba;821,61
Salı;822,86
Pazartesi;833,79
Cuma;831,15
Perşembe;819,82
Çarşamba;826,19
Salı;833,48
Pazartesi;831,2
Cuma;835,42
Perşembe;818,35
Çarşamba;821,74
Salı;810,51
Pazartesi;806,12
Cuma;798,68
Perşembe;793,34
Çarşamba;781,66
Salı;775,14
Pazartesi;766,7
Cuma;758,99
Perşembe;772,69
Çarşamba;788,91
Salı;782,75
Pazartesi;779,08
Cuma;780,81
Perşembe;775,8
Çarşamba;779,43
Salı;780,79
Pazartesi;772,56
Cuma;786,84
Perşembe;781,49
Çarşamba;800,54
Salı;803,1
Pazartesi;807,23
Cuma;802,22
Perşembe;787,83
Çarşamba;789,83
Salı;821,78
Pazartesi;811,66
Cuma;847,55
Perşembe;864,38
Çarşamba;863,41
Salı;856,47
Pazartesi;852,82
Cuma;850,05
Perşembe;848,6
Çarşamba;840,82
Salı;824,06
Pazartesi;819,9
Cuma;810,34
Perşembe;808,37
Çarşamba;811,49
Salı;801,62
Pazartesi;802,24
Cuma;795,64
Perşembe;800,33
Çarşamba;796,42
Pazartesi;782,08
Cuma;785,79
Perşembe;784,54
Çarşamba;779,91
Salı;775,96
Pazartesi;773,14
Cuma;766,85
Perşembe;768,14
Çarşamba;768,1
Salı;772,98
Pazartesi;774,67
Cuma;762,93
Perşembe;769,63
Çarşamba;774,04
Salı;768,15
Pazartesi;767,34
Cuma;762,42
Perşembe;757,86
Çarşamba;760,38
Salı;755,23
Pazartesi;742,99
Cuma;730,59
Perşembe;724,49
Çarşamba;719,74
Salı;720
Pazartesi;718,67
Cuma;710,04
Perşembe;699,26
Çarşamba;704,61
Salı;706,37
Pazartesi;706,07
Cuma;707,91
Perşembe;715,97
Çarşamba;713,26
Salı;720,15
Pazartesi;713,57
Cuma;718,2
Perşembe;726,5
Çarşamba;716,05
Salı;720,4
Pazartesi;727,37
Cuma;714,23
Perşembe;725,53
Çarşamba;725,29
Salı;717,17
Çarşamba;707,08
Salı;707,62
Pazartesi;712,19
Cuma;707,74
Perşembe;703,56
Çarşamba;706,87
Salı;702,82
Pazartesi;697,7
Cuma;696,03
Perşembe;695,78
Çarşamba;684,58
Salı;680,63
Pazartesi;674,35
Cuma;673,84
Perşembe;669,09
Çarşamba;668,22
Salı;674,98
Pazartesi;667,55
Cuma;663,97
Perşembe;667,71
Çarşamba;666,76
Salı;678,1
Pazartesi;672,07
Cuma;678,91
Perşembe;670,02
Çarşamba;671,15
Salı;676
Pazartesi;680,92
Cuma;681,8
Perşembe;672,91
Çarşamba;681,84
Salı;681,05
Pazartesi;681,22
Cuma;679,37
Perşembe;677,15
Çarşamba;675,59
Salı;668,98
Pazartesi;672,08
Cuma;673,68
Çarşamba;661,53
Salı;661,39
Pazartesi;659,42
Cuma;656,54
Perşembe;660,79
Çarşamba;661,09
Cuma;657,58
Perşembe;649,16
Çarşamba;646,12
Salı;641,61
Pazartesi;651,49
Cuma;651,26
Perşembe;645,01
Çarşamba;646,99
Salı;649,38
Pazartesi;655,77
Cuma;653,04
Perşembe;637,78
Çarşamba;640,81
Salı;642,6
Pazartesi;650,32
Cuma;643,73
Perşembe;638,41
Çarşamba;617,08
Salı;613,03
Pazartesi;607,37
Cuma;617,92
Perşembe;623,41
Çarşamba;624,45
Salı;624,73
Pazartesi;626,75
Cuma;626,62
Perşembe;623,25
Çarşamba;630,49
Salı;631,24
Pazartesi;626,08
Cuma;627,81
Perşembe;619,72
Çarşamba;629,86
Salı;627,21
Pazartesi;619,51
Cuma;625,43
Perşembe;608,23
Çarşamba;611,84
Salı;601,27
Pazartesi;594,79
Cuma;604,51
Perşembe;604,4
Çarşamba;594,01
Salı;593
Pazartesi;583,25
Cuma;584,68
Perşembe;583,65
Çarşamba;582,5
Salı;582,01
Pazartesi;575,05
Cuma;573
Perşembe;566,96
Çarşamba;562,48
Salı;558
Pazartesi;557,44
Cuma;555,68
Perşembe;550,99
Çarşamba;551,25
Salı;554,5
Pazartesi;548,44
Cuma;548,1
Perşembe;549,17
Çarşamba;557,34
Salı;570,79
Pazartesi;565,4
Cuma;569,36
Perşembe;573,31
Çarşamba;581,01
Salı;574,53
Pazartesi;578,54
Cuma;588,73
Perşembe;588,21
Çarşamba;580,93
Salı;587,49
Pazartesi;588,1
Cuma;590,16
Perşembe;592,86
Çarşamba;589,44
Pazartesi;600,1
Cuma;605,97
Perşembe;606,78
Çarşamba;599,41
Salı;597,06
Cuma;601,23
Perşembe;598,48
Çarşamba;601,32
Salı;606,53
Pazartesi;604,78
Cuma;605,83
Perşembe;608,9
Çarşamba;607,1
Salı;599,88
Pazartesi;608,13
Cuma;609,4
Perşembe;620,63
Çarşamba;624,64
Salı;632,85
Pazartesi;629,69
Cuma;624,23
Perşembe;615,45
Çarşamba;618,15
Salı;624,91
Pazartesi;625,61
Cuma;614,17
Perşembe;617,87
Çarşamba;620,65
Salı;621,64
Pazartesi;625,37
Cuma;623,36
Perşembe;612,79
Çarşamba;608,36
Salı;593,89
Pazartesi;590,09
Cuma;592,8
Perşembe;596,74
Çarşamba;594,8
Salı;591,43
Pazartesi;596,85
Cuma;609,02
Perşembe;607,26
Çarşamba;607,21
Salı;599,78
Pazartesi;588,22
Cuma;597,38
Perşembe;596,67
Çarşamba;608,56
Salı;612,53
Pazartesi;614,49
Cuma;611,11
Perşembe;600,3
Çarşamba;598,48
Salı;596,62
Pazartesi;605,57
Cuma;593,32
Perşembe;601,63
Çarşamba;611,78
Salı;605,46
Pazartesi;606,75
Cuma;601,48
Perşembe;600,52
Çarşamba;592,16
Salı;571,71
Pazartesi;578,12
Cuma;573,57
Perşembe;569,59
Çarşamba;549,19
Salı;547,91
Pazartesi;551,86
Cuma;548,89
Perşembe;546,08
Çarşamba;543,85
Salı;535,29
Pazartesi;527,97
Cuma;515,62
Perşembe;521,54
Çarşamba;514,1
Salı;507,82
Pazartesi;498,37
Cuma;501,83
Perşembe;512,05
Çarşamba;515,33
Salı;528,59
Pazartesi;513,41
Cuma;512,67
Perşembe;520,54
Çarşamba;515,53
Salı;525,61
Pazartesi;525,17
Cuma;519,49
Perşembe;515,92
Çarşamba;517,47
Salı;521,27
Pazartesi;507,42
Cuma;516,66
Perşembe;518,86
Çarşamba;513,39
Salı;525,52
Pazartesi;524,44
Cuma;538,35
Perşembe;534,99
Çarşamba;551,39
Salı;546,79
Pazartesi;551,96
Cuma;547,69
Perşembe;538,07
Çarşamba;545,18
Salı;520,93
Pazartesi;522,84
Cuma;510,71
Perşembe;496,22
Çarşamba;510,92
Salı;519,86
Pazartesi;527,52
Cuma;544,74
Perşembe;550,9
Çarşamba;559,27
Salı;559,23
Pazartesi;558,76
Cuma;562,01
Perşembe;555,41
Cuma;561,8
Perşembe;565,23
Çarşamba;557,21
Salı;548,52
Pazartesi;560,61
Cuma;570,42
Perşembe;566,17
Çarşamba;554,7
Salı;562,78
Pazartesi;562,59
Cuma;567,92
Perşembe;559,05
Çarşamba;577,99
Salı;587,51
Pazartesi;584,42
Cuma;593
Perşembe;585,43
Çarşamba;594,2
Salı;586,64
Pazartesi;583,28
Cuma;573,39
Perşembe;572,29
Çarşamba;573,11
Salı;572,09
Pazartesi;594,6
Cuma;596,93
Perşembe;597,58
Çarşamba;589,88
Salı;582,61
Pazartesi;568,01
Cuma;563,23
Perşembe;579,8
Çarşamba;608,28
Salı;608,89
Pazartesi;579,33
Cuma;578,97
Perşembe;571,16
Çarşamba;561,22
Salı;566,51
Pazartesi;556,05
Cuma;559,03
Perşembe;566,92
Çarşamba;552,38
Salı;550,2
Pazartesi;540,55
Cuma;553,75
Pazartesi;539,46
Cuma;537,08
Perşembe;529,68
Çarşamba;530,55
Salı;524,11
Pazartesi;532,87
Cuma;530,62
Perşembe;519,46
Çarşamba;542,18
Salı;540,97
Pazartesi;534,85
Cuma;521,89
Perşembe;520,17
Çarşamba;503,08
Salı;529,61
Pazartesi;522,84
Cuma;562,66
Perşembe;593,26
Çarşamba;613,15
Salı;617,59
Pazartesi;619,27
